"month","count"
"01/2015",232
"12/2014",498
"11/2014",529
"10/2014",778
"09/2014",816
"08/2014",903
"07/2014",1080
"06/2014",771
"05/2014",649
"04/2014",659
"03/2014",508
"02/2014",543
"01/2014",711
"12/2013",762
"11/2013",808
"10/2013",794
"09/2013",791
"08/2013",910
"07/2013",976
"06/2013",633
"05/2013",531
"04/2013",425
"03/2013",403
"02/2013",281
"01/2013",395
"12/2012",671
"11/2012",779
"10/2012",674
"09/2012",767
"08/2012",900
"07/2012",934
"06/2012",760
"05/2012",521
"04/2012",498
"03/2012",534
"02/2012",393
"01/2012",583
"12/2011",533
"11/2011",445
"10/2011",642
"09/2011",556
"08/2011",641
"07/2011",764
"06/2011",401
"05/2011",320
"04/2011",318
"03/2011",334
"02/2011",274
"01/2011",329
"12/2010",306
"11/2010",365
"10/2010",474
"09/2010",450
"08/2010",528
"07/2010",841
"06/2010",383
"05/2010",328
"04/2010",296
"03/2010",262
"02/2010",188
"01/2010",293
"12/2009",293
"11/2009",323
"10/2009",322
"09/2009",600
"08/2009",500
"07/2009",611
"06/2009",388
"05/2009",359
"04/2009",317
"03/2009",341
"02/2009",395
"01/2009",498
"12/2008",350
"11/2008",456
"10/2008",534
"09/2008",383
"08/2008",504
"07/2008",575
"06/2008",479
"05/2008",345
"04/2008",443
"03/2008",341
"02/2008",371
"01/2008",475
"12/2007",361
"11/2007",375
"10/2007",447
"09/2007",450
"08/2007",470
"07/2007",465
"06/2007",425
"05/2007",313
"04/2007",323
"03/2007",362
"02/2007",265
"01/2007",441
"12/2006",387
"11/2006",413
"10/2006",398
"09/2006",325
"08/2006",429
"07/2006",426
"06/2006",340
"05/2006",300
"04/2006",322
"03/2006",305
"02/2006",232
"01/2006",253
"12/2005",276
"11/2005",465
"10/2005",486
"09/2005",532
"08/2005",355
"07/2005",454
"06/2005",409
"05/2005",301
"04/2005",314
"03/2005",358
"02/2005",278
"01/2005",257
"12/2004",307
"11/2004",329
"10/2004",453
"09/2004",411
"08/2004",549
"07/2004",438
"06/2004",431
"05/2004",390
"04/2004",392
"03/2004",414
"02/2004",301
"01/2004",306
"12/2003",383
"11/2003",471
"10/2003",472
"09/2003",507
"08/2003",544
"07/2003",451
"06/2003",307
"05/2003",252
"04/2003",225
"03/2003",191
"02/2003",267
"01/2003",327
"12/2002",249
"11/2002",295
"10/2002",336
"09/2002",376
"08/2002",488
"07/2002",433
"06/2002",347
"05/2002",251
"04/2002",190
"03/2002",196
"02/2002",258
"01/2002",237
"12/2001",213
"11/2001",279
"10/2001",256
"09/2001",348
"08/2001",395
"07/2001",407
"06/2001",309
"05/2001",255
"04/2001",234
"03/2001",291
"02/2001",231
"01/2001",282
"12/2000",233
"11/2000",232
"10/2000",329
"09/2000",297
"08/2000",297
"07/2000",361
"06/2000",273
"05/2000",188
"04/2000",197
"03/2000",225
"02/2000",201
"01/2000",230
"12/1999",226
"11/1999",449
"10/1999",311
"09/1999",403
"08/1999",318
"07/1999",306
"06/1999",284
"05/1999",190
"04/1999",165
"03/1999",162
"02/1999",175
"01/1999",145
"12/1998",193
"11/1998",213
"10/1998",226
"09/1998",246
"08/1998",174
"07/1998",185
"06/1998",211
"05/1998",106
"04/1998",130
"03/1998",146
"02/1998",87
"01/1998",85
"12/1997",73
"11/1997",123
"10/1997",114
"09/1997",57
"08/1997",128
"07/1997",224
"06/1997",196
"05/1997",107
"04/1997",94
"03/1997",192
"02/1997",48
"01/1997",54
"12/1996",84
"11/1996",86
"10/1996",55
"09/1996",73
"08/1996",83
"07/1996",78
"06/1996",153
"05/1996",81
"04/1996",103
"03/1996",66
"02/1996",75
"01/1996",59
"12/1995",57
"11/1995",120
"10/1995",107
"09/1995",130
"08/1995",194
"07/1995",133
"06/1995",179
"05/1995",104
"04/1995",90
"03/1995",124
"02/1995",115
"01/1995",95
